FIELD	COUNT	DESC
SpliceLoci_Novel_ManyReads	256	Number of novel splice loci observed with 4+ observed reads
SpliceEvents	64860	Number of observed splicing events (each read or read-pair that maps across a splice junction is a splice 'event')
SpliceEvents_KnownLoci	59523	Number of splice events covering known SJ loci
SpliceEvents_KnownLociWithFewReads	2450	Number of splice events covering low-coverage known SJ loci
SpliceEvents_KnownLociWithManyReads	57073	Number of splice events covering high-coverage known SJ loci
SpliceEvents_NovelLoci	5337	Number of splice events covering noverl SJ loci
SpliceEvents_NovelLociWithFewReads	3000	Number of splice events covering low-coverage novel SJ loci
SpliceEvents_NovelLociWithManyReads	2337	Number of splice events covering high-coverage novel SJ loci
StrandTest_frFirstStrand	95122	Number of reads or read-pairs that match the fr_FirstStrand strandedness rule
StrandTest_frSecondStrand	2133	Number of reads or read-pairs that match the fr_secondstrand strandedness rule
StrandTest_ambig_genesFountOnBothStrands	454	Number of reads or read-pairs where the strandedness is ambiguous due to there being genes on both strands
StrandTest_ambig_noGenes	159742	Number of reads or read-pairs where the strandedness is ambiguous due to there being no known genes.
StrandTest_ambig_other	0	Numebr of reads or read-pairs where the strandedness is ambiguous due to other reasons
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1	1 if the strandedness appears to match the strandedness mode, 0 otherwise.
NumberOfChromosomesCovered	3	Number of chromosomes with 1 or more aligned reads.
deletionLoci	1965	Number of observed deletion loci
insertionLoci	1334	Number of observed insertion loci
deletionEventCt	3006	Number of times deletions are observed in a read
insertionEventCt	2013	Number of times insertions are observed in a read
highCoverageDeletionLoci	37	Number of high-coverage deletion loci.
highCoverageInsertionLoci	14	Number of high-coverage insertion loci
PAIR_CONTAINS_DEL	2971	Number of read-pairs containing one or more deletions
PAIR_CONTAINS_INS	2038	Number of read-pairs containing one or more insertions
PAIR_CONTAINS_INS_AND_DEL	42	Number of read-pairs containing one or more insertions and deletions
PAIR_CONTAINS_INDEL	4967	Number of read-pairs containing one or more insertions or deletions
PAIR_CONTAINS_NO_INDEL	252484	Number of read-pairs containing no indels
READ_CONTAINS_DEL_R1	1660	Number of read pairs containing a del in read 1
READ_CONTAINS_INS_R1	1204	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R1	254594	Number of read pairs containing no indels in read 1
READ_CONTAINS_DEL_R2	1311	Number of read pairs containing a del in read 2
READ_CONTAINS_INS_R2	834	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R2	255321	Number of read pairs containing no indels in read 2
OM_noOverlap_staggered	0	Number of read-pairs with no overlap, mis-staggered such that the fwd read occurs second.
OM_noOverlap_normal	32781	Number of read-pairs with no overlap, arranged normally
OM_overlap	224670	Number of read-pairs with good overlap.
OM_BAD_OVERLAP	0	Number of read-pairs with a bad overlap
OM_overlap_Match	196645	Number of read-pairs with a good overlap, and that match perfectly.
OM_overlap_mismatch	28025	Number of read-pairs with a good overlap, but that contain one or more base mismatches
NumReadsAtMaxReadLength_R1	257451	Number of read-1 reads at the max length.
NumReadsAtMaxReadLength_R2	257451	Number of read-2 reads at the max length.
NumReadsTruncated_R1	0	Number of read-1 reads that are not at the max length.
NumReadsTruncated_R2	0	Number of read-2 reads that are not at the max length.
NumReadsTruncated_25pct_R1	0	Number of read-1 reads that are truncated to less than 25% of the max length
NumReadsTruncated_25pct_R2	0	Number of read-2 reads that are truncated to less than 25% of the max length
NumReadsTruncated_50pct_R1	0	Number of read-1 reads that are truncated to less than 50% of the max length
NumReadsTruncated_50pct_R2	0	Number of read-2 reads that are truncated to less than 50% of the max length
NumReadsTruncated_75pct_R1	0	Number of read-1 reads that are truncated to less than 75% of the max length
NumReadsTruncated_75pct_R2	0	Number of read-2 reads that are truncated to less than 75% of the max length
READ_LENGTH	101	The read length.
COMPLETED_WITHOUT_WARNING	1	0 if complete without throwing any warnings. 1 if warnings were thrown.
QoRTs_initTimeStamp	1693837861737	Time stamp for when QoRTs QC began.
QoRTs_samDoneTimeStamp	1693837990470	Time stamp for when QoRTs QC finished SAM iteration.
QoRTs_majorVer	1	QoRTs major version number
QoRTs_minorVer	2	QoRTs minor version number
QoRTs_patchVer	26	QoRTs patch version number
QoRTs_compileTimeStamp	1488914523	The timestamp for when the version of QoRTs was built.
COMPLETED_WITHOUT_ERROR	1	1 if QoRTs completed without errors. If QoRTs encountered an error, this file should not exist.
